id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22258652,Quiet townhouse condo near Eaton Centre,1717188,1462576569354333197,Calin,,Moss Park,43.65582,-79.37032,Entire home/apt,358,2,55,2026-04-26,0.55,2,137,15,STR-2504-FLMHPP
31038042,"Stylish, Cozy 1br Home Away From Home",1723300,1462576725629411505,Steve,,Moss Park,43.65149,-79.36811,Entire home/apt,,365,6,2025-08-31,0.07,1,252,1,
16062738,Private cozy room/bathroom Downtown,11949507,1462580577243929460,Tiberius,,Moss Park,43.65752,-79.36767,Private room,190,3,54,2025-10-13,0.48,1,147,11,STR-2205-GQHXVG
2969361,Tree top gem - Downtown Toronto,15150765,1462592993302960769,Phillip,,Moss Park,43.65822,-79.37251,Entire home/apt,220,2,246,2026-05-21,1.7,1,80,50,STR-2009-FGQKPB
20114329,St Lawrence market 1 bed apt,20261685,1462612390257744063,Bahaa,,Moss Park,43.65271,-79.3689,Entire home/apt,192,28,66,2026-05-04,0.62,3,288,4,
6283763,Downtown Unique 2 bedroom suite,22431111,1462621163027441887,Michael & Jennifer,,Moss Park,43.65969,-79.37019,Entire home/apt,139,28,184,2026-04-30,1.38,2,334,3,STR-2012-HTHDVL
4320380,Downtown Private Stylish Suite,22431111,1462621163027441887,Michael & Jennifer,,Moss Park,43.65969,-79.37019,Entire home/apt,112,28,159,2025-02-23,1.13,2,335,0,STR-2012-HTHDVL
16519421,Roof Top Studio Loft/Walk to Eaton Centre,4068231,1462646505629456390,Margaret,,Moss Park,43.65554,-79.37126,Entire home/apt,98,30,26,2024-09-01,0.24,4,308,0,
771141,Studio Loft/Walk to Eaton Center,4068231,1462646505629456390,Margaret,,Moss Park,43.65802,-79.37108,Entire home/apt,103,30,38,2025-11-18,0.24,4,365,3,
5671613,Shihtzu Haven - Parking is free,29405328,1462648010233344511,Adrien,,Moss Park,43.65878,-79.36906,Private room,194,1,312,2026-05-17,6.15,1,299,50,STR-2203-HMJXVK
5770940,FIFA in Style,29938723,1462649821816421034,Anca-Daniela,,Moss Park,43.65959,-79.36911,Private room,856,2,79,2023-06-04,0.6,2,139,0,STR-2009-FPCHBC
5942478,Central-Luxurious-Walk to Hospitals & Universities,29938723,1462649821816421034,Anca-Daniela,,Moss Park,43.66095,-79.37096,Entire home/apt,147,30,297,2026-05-05,2.25,2,129,5,
6239007,Downtown New Condo Toronto,32379679,1462658351832252964,Jen,,Moss Park,43.65284,-79.36894,Private room,61,28,32,2026-03-16,0.24,2,236,4,
7108538,New condo downtown core,32379679,1462658351832252964,Jen,,Moss Park,43.65186,-79.36881,Private room,,28,17,2025-11-30,0.13,2,0,2,
